Blockgroup,Average_Income(USD)
530330274004,57652.83843
530330275001,66019.678
530330275002,59666.66667
530330275003,57840.34653
530330275004,70623.2687
530330276001,81632.88288
530330276002,51386.3109
530330276003,136845.5497
530330277011,67495.7265
530330277012,98405.7971
530330277013,100908.3045
530330277014,85583.4684
530330277015,84537.44493
530330277021,117790.6977
530330277022,103407.225
530330277023,109024.4932
530330277024,96220.37915
530330278001,89642.85714
530330278002,143459.7701
530330278003,115872.549
530330279001,46810.0189
530330279002,55300.42918
530330279003,57585.92471
530330279004,74271.39037
530330279005,86029.41176
530330279006,91932.23443
530330280001,58340.42553
530330280002,46827.29008
530330280003,49909.70655
530330281001,51156.97674
530330281002,54649.12281
530330282001,58304.2394
530330282002,67415.04854
530330282003,39130.64833
530330283001,106699.3088
530330283002,80386.17886
530330283003,88717.75794
530330284021,48107.47664
530330284022,63117.55952
530330284023,78205.81897
530330284024,35950.94664
530330284031,42336.55275
530330284032,31983.64888
530330284033,68734.33584
530330285001,87337.5
530330285002,81706.50096
530330285003,36793.78531
530330286001,155714.2857
530330286002,118254.9505
530330286003,155495.4442
530330286004,121775.5991
530330286005,86882.18391
530330286006,73436.853
530330287001,62173.02452
530330287002,119159.1928
530330287003,79268.73857
530330287004,82546.875
530330288011,71209.50324
530330288012,78351.25448
530330288013,60781.25
530330288021,54954.92788
530330288022,93401.46751
530330288023,46939.05817
530330288024,38035.43914
530330289011,68307.29167
530330289012,74041.9708
530330289013,87073.79135
530330289014,86583.12958
530330289021,39071.81572
530330289022,64717.53794
530330289023,27542.06731
530330289024,61756.44028
530330289025,49271.00494
530330290011,79762.2108
530330290012,77184.46602
530330290013,93675.41766
530330290014,68249.66079
530330290031,40125
530330290032,75750
530330290033,74531.52364
530330290034,51686.82796
530330290035,86507.49064
530330290041,52187.92867
530330290042,32201.70455
530330291011,77138.36478
530330291012,90555.14706
530330291021,92297.79412
530330291022,101179.7753
530330291023,62320.20548
530330292031,38161.41732
530330292032,41500
530330292041,68422.59007
530330292042,129325.7098
530330292043,101237.9421
530330292044,48043.47826
530330292051,69942.52874
530330292052,73484.53608
530330292053,64649.8494
530330292061,33082.06107
530330292062,30080.2139
530330292063,44561.93353
530330293031,88601.03627
530330293032,106846.2644
530330293033,80936.72457
530330293034,80437.60832
530330293035,80831.83453
530330293041,107633.833
530330293042,133553.7634
530330293043,85530.85299
530330293044,116644.385
530330293051,115545.7746
530330293052,58500
530330293053,73750
530330293054,116812.9771
530330293061,69663.02953
530330293062,106911.1349
530330293071,86419.14191
530330293072,104878.0488
530330293073,108553.8117
530330294031,74020.73733
530330294032,115600.5587
530330294033,75574.88208
530330294051,110498.6339
530330294052,87253.74732
530330294053,96147.85992
530330294054,88284.13284
530330294055,113094.2029
530330294061,98110.23622
530330294062,111412.4738
530330294071,61984.89011
530330294072,57091.96891
530330294073,66632.12435
530330294081,58019.39058
530330294082,71970.93023
530330294083,42016.62562
530330295021,79740.91521
530330295022,85005.73394
530330295023,87016.12903
530330295024,123032.7869
530330295031,99553.57143
530330295032,48657.20524
530330295033,44382.8125
530330295034,55925.19685
530330295035,40410.73739
530330295041,51816.98774
530330295042,49948.30133
530330295043,64832.79396
530330296011,81299.50495
530330296012,88356.26911
530330296013,49244.18605
530330296014,88737.02422
530330296015,86913.31924
530330296021,106688.1443
530330296022,114599.3228
530330296023,115766.7824
530330297001,60075.12521
530330297002,86044.25466
530330297003,64163.22314
530330297004,31069.58763
530330297005,75669.21606
530330298011,126067.8392
530330298012,86523.49486
530330298013,63222.77228
530330298014,112320.3285
530330298015,64360.85973
530330298021,118952.8796
530330298022,82066.66667
530330298023,72240.71703
530330298024,74673.91304
530330298025,85613.11787
530330298026,132563.2378
530330299011,87067.22689
530330299012,85198.79518
530330299013,70854.94327
530330299021,97123.78641
530330299022,94184.65228
530330299023,110641.5241
530330300031,120554.9199
530330300032,89742.53731
530330300033,63072.1831
530330300034,91494.04762
530330300035,47356.59656
530330300041,75932.64249
530330300042,48506.63717
530330300043,48116.43836
530330300044,83662.7907
530330300045,37793.36735
530330300046,37776.26812
530330300051,51062.15213
530330300052,81256.78119
530330300053,48894.23077
530330300061,56362.2449
530330300062,35390.625
530330301001,142652.9052
530330301002,111279.3427
530330301003,100173.0419
530330301004,112921.4286
530330301005,43874.09201
530330301006,116917.5258
530330301007,153055.5556
530330302011,74903.84615
530330302012,49547.51131
530330302013,61930.32015
530330302014,77077.65668
530330302021,62018.58108
530330302022,69558.82353
530330302023,67224.08027
530330302024,59022.34637
530330302025,46879.19463
530330303041,108736.2637
530330303042,93674.00419
530330303051,71749.39467
530330303052,73260.08646
530330303053,101347.1503
530330303061,110758.3682
530330303062,122550
530330303063,90880.82902
530330303064,93998.75622
530330303081,99469.11197
530330303082,65800
530330303083,108879.4821
530330303084,64752.16853
530330303091,125319.4103
530330303092,52905.00736
530330303093,55693.43066
530330303094,85649.43253
530330303101,87439.65517
530330303102,105345.092
530330303103,106798.2456
530330303104,63877.66554
530330303111,105123.6979
530330303112,56914.0625
530330303113,77354.52586
530330303114,77399.66555
530330303121,53795.23026
530330303122,64720.67039
530330303123,78541.66667
530330303124,111674.1071
530330303131,37613.63636
530330303132,57125.98425
530330303141,48794.88575
530330303142,72472.06704
530330303143,43183.59375
530330304011,69169.75309
530330304012,71002.28659
530330304013,92704.58265
530330304014,105272.8285
530330304015,78583.18099
530330304031,67853.46097
530330304032,104384.715
530330304033,120281.5126
530330304041,97626.6766
530330304042,85084.84163
530330304043,86735.66879
530330305011,44836.81462
530330305012,30848.70849
530330305031,43997.26776
530330305032,68418.71296
530330305041,46253.62319
530330305042,71776.31579
530330305043,55780.05115
530330305044,61043.24734
530330306001,59328.08717
530330306002,61151.78571
530330306003,65574.76636
530330306004,62794.11765
530330307001,54583.33333
530330307002,50028.79079
530330307003,59672.48908
530330308011,39187.3805
530330308012,36077.20588
530330308013,52054.28067
530330308021,50537.0844
530330308022,63602.51451
530330308023,60237.55656
530330309011,65257.46269
530330309012,68380.95238
530330309021,58814.21744
530330309022,73725.91006
530330309023,59672.31222
530330310001,119988.3586
530330310002,112217.6685
530330311001,59021.73913
530330311002,92647.32965
530330311003,65365.58346
530330311004,45043.77432
530330311005,56119.50549
530330312021,115586.6808
530330312022,72953.17221
530330312023,130562.645
530330312024,127812.5
530330312025,58100.43668
530330312041,97393.36493
530330312042,155529.9539
530330312043,97901.87891
530330312044,87903.45821
530330312045,104793.3071
530330312051,82269.44444
530330312052,85637.05234
530330312053,120017.6991
530330312061,64793.57798
530330312062,94794.68599
530330312063,65711.56773
530330313011,89871.66324
530330313012,98423.23651
530330313021,110073.9247
530330313022,90429.6875
530330313023,56302.74262
530330313024,57125.29274
530330314001,53812.99735
530330314002,60504.45104
530330314003,77400.39841
530330314004,65638.18565
530330314005,73248.0315
530330315011,107142.0455
530330315012,105826.4463
530330315013,86626.21359
530330315021,101804.7035
530330315022,81745.64797
530330315023,89897.82016
530330316011,122493.4297
530330316012,118567.6393
530330316013,80106.49087
530330316031,110777.4674
530330316032,80495.16908
530330316033,72271.91413
530330316034,168593.4744
530330316041,118001.5512
530330316042,106552.0446
530330316043,99786.12167
530330316051,113300.9709
530330316052,91475.22523
530330316053,111844.473
